GEO_ID,id,NAME,births_past12_unmarried
0500000US12001,12001,"Alachua County, Florida",43.2
0500000US12003,12003,"Baker County, Florida",30.4
0500000US12005,12005,"Bay County, Florida",33.6
0500000US12007,12007,"Bradford County, Florida",74.1
0500000US12009,12009,"Brevard County, Florida",36
0500000US12011,12011,"Broward County, Florida",38.1
0500000US12013,12013,"Calhoun County, Florida",61.7
0500000US12015,12015,"Charlotte County, Florida",31.9
0500000US12017,12017,"Citrus County, Florida",43.5
0500000US12019,12019,"Clay County, Florida",19.4
0500000US12021,12021,"Collier County, Florida",38
0500000US12023,12023,"Columbia County, Florida",49
0500000US12027,12027,"DeSoto County, Florida",46.6
0500000US12029,12029,"Dixie County, Florida",30.5
0500000US12031,12031,"Duval County, Florida",40.3
0500000US12033,12033,"Escambia County, Florida",42.7
0500000US12035,12035,"Flagler County, Florida",28.4
0500000US12037,12037,"Franklin County, Florida",47.9
0500000US12039,12039,"Gadsden County, Florida",54.7
0500000US12041,12041,"Gilchrist County, Florida",41.2
0500000US12043,12043,"Glades County, Florida",76.8
0500000US12045,12045,"Gulf County, Florida",48.9
0500000US12047,12047,"Hamilton County, Florida",62.3
0500000US12049,12049,"Hardee County, Florida",64.3
0500000US12051,12051,"Hendry County, Florida",28.2
0500000US12053,12053,"Hernando County, Florida",45
0500000US12055,12055,"Highlands County, Florida",51.6
0500000US12057,12057,"Hillsborough County, Florida",38.1
0500000US12059,12059,"Holmes County, Florida",57.5
0500000US12061,12061,"Indian River County, Florida",41.4
0500000US12063,12063,"Jackson County, Florida",57.3
0500000US12065,12065,"Jefferson County, Florida",20
0500000US12067,12067,"Lafayette County, Florida",0
0500000US12069,12069,"Lake County, Florida",46.2
0500000US12071,12071,"Lee County, Florida",44.3
0500000US12073,12073,"Leon County, Florida",33.1
0500000US12075,12075,"Levy County, Florida",49.1
0500000US12077,12077,"Liberty County, Florida",77.3
0500000US12079,12079,"Madison County, Florida",60.6
0500000US12081,12081,"Manatee County, Florida",41.5
0500000US12083,12083,"Marion County, Florida",43.6
0500000US12085,12085,"Martin County, Florida",25.2
0500000US12086,12086,"Miami-Dade County, Florida",41.6
0500000US12087,12087,"Monroe County, Florida",30.1
0500000US12089,12089,"Nassau County, Florida",60.2
0500000US12091,12091,"Okaloosa County, Florida",31.5
0500000US12093,12093,"Okeechobee County, Florida",47.1
0500000US12095,12095,"Orange County, Florida",33.3
0500000US12097,12097,"Osceola County, Florida",42.6
0500000US12099,12099,"Palm Beach County, Florida",35.7
0500000US12101,12101,"Pasco County, Florida",37.1
0500000US12103,12103,"Pinellas County, Florida",37.2
0500000US12105,12105,"Polk County, Florida",43.2
0500000US12107,12107,"Putnam County, Florida",73.8
0500000US12109,12109,"St. Johns County, Florida",30.9
0500000US12111,12111,"St. Lucie County, Florida",44.4
0500000US12113,12113,"Santa Rosa County, Florida",25.4
0500000US12115,12115,"Sarasota County, Florida",38.1
0500000US12117,12117,"Seminole County, Florida",22
0500000US12119,12119,"Sumter County, Florida",21.8
0500000US12121,12121,"Suwannee County, Florida",71.9
0500000US12123,12123,"Taylor County, Florida",47.4
0500000US12125,12125,"Union County, Florida",40.3
0500000US12127,12127,"Volusia County, Florida",42.7
0500000US12129,12129,"Wakulla County, Florida",18.3
0500000US12131,12131,"Walton County, Florida",39.2
0500000US12133,12133,"Washington County, Florida",38.7